본부 구분,팀 구분,근무형태,Opark 근무기호,팀 근무기호,실제 근무,법정 근로시간,연장 근로시간,소정 근로시간,비고,등록자,등록시간
SO,백본SO팀,교대근무자,주,주(센)-H,주,8,0.0,0.0,기간망 센싱 재택 근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,주(현),주,8,0.0,0.0,기간망 현장대리 근무,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주-건,주,8,0.0,0.0,건강검진 후 주간근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,주-A,주,8,0.0,0.0,주간 A자리,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,주-A(상),주,8,0.0,0.0,주간 상황장,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주-B,주,8,0.0,0.0,주간 B자리,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,주-BB,주,8,0.0,0.0,전국망→기간망 센싱 근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,주-C,주,8,0.0,0.0,주간 C자리,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,주-D,주,8,0.0,0.0,주간 D자리,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주-E,주,8,0.0,0.0,주간 E자리,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주-F,주,8,0.0,0.0,주간 F자리,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주-H,주-재택,8,0.0,0.0,주간 재택근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,파견,주-파견,8,0.0,0.0,파견,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,휴가(주),휴,0,0.0,0.0,주간패턴에 휴가,ITOS 시스템,2023-12-28 23:25:27
