본부 구분,팀 구분,근무형태,Opark 근무기호,팀 근무기호,실제 근무,법정 근로시간,연장 근로시간,소정 근로시간,비고,등록자,등록시간
SO,성수SO팀,교대근무자,주,병가,휴,0,0.0,0.0,교대근무자 병가 (NeOS 근무기호는 그대로 유지),김주대 (성수SO팀),2022-03-10 10:36:30
SO,성수SO팀,교대근무자,주,상,주,8,0.0,0.0,,이승일 (성수SO팀),2022-08-28 08:10:56
SO,성수SO팀,교대근무자,주,오반,주,4,0.0,0.0,오전 반차,오아라 (SO기술팀),2021-09-24 09:58:10
SO,성수SO팀,교대근무자,주,작,주,8,0.0,0.0,,이승일 (성수SO팀),2024-12-31 10:21:30
SO,성수SO팀,교대근무자,주,작검,주,8,0.0,0.0,,이승일 (성수SO팀),2024-12-31 10:21:51
SO,성수SO팀,교대근무자,주,재,주-재택,8,0.0,0.0,주간 재택 근무,오아라 (SO기술팀),2021-07-27 14:35:13
SO,성수SO팀,교대근무자,주,접3,휴,0,0.0,0.0,접종3차,김주대 (성수SO팀),2021-12-29 08:23:48
SO,성수SO팀,교대근무자,주,조/반,주,4,0.0,0.0,조기 출근 + 반차 ,오아라 (SO기술팀),2021-08-31 09:19:25
SO,성수SO팀,교대근무자,주,조출,주,8,0.0,0.0,오전 6시 ~ 오후 3시 근무,오아라 (SO기술팀),2021-08-31 09:18:05
SO,성수SO팀,교대근무자,주,주(수),주,8,0.0,0.0,성수근무자가 수유사옥 근무,이승일 (성수SO팀),2023-04-18 16:15:20
SO,성수SO팀,교대근무자,주,집작,주,8,0.0,0.0,,이승일 (성수SO팀),2024-12-31 10:22:10
SO,성수SO팀,교대근무자,주,출장,주,8,0.0,0.0,교대근무자 주간 패턴 시 출장,김주대 (성수SO팀),2022-04-21 09:46:40
SO,성수SO팀,교대근무자,주,후반,주,4,0.0,0.0,오후 반차,오아라 (SO기술팀),2021-09-24 09:58:40
SO,성수SO팀,교대근무자,주,휴가(주),휴,0,0.0,0.0,교대근무자 주간 패턴에 휴가,이승일 (성수SO팀),2023-05-31 15:52:03
SO,성수SO팀,교대근무자,휴,공가,휴,0,0.0,0.0,공가,이승일 (성수SO팀),2023-05-31 08:11:38
SO,성수SO팀,선택근무제,공휴,공휴,휴,0,0.0,0.0,공휴일 선택근무제,한익진 (성수SO팀),2023-06-01 10:16:10
SO,성수SO팀,선택근무제,공휴,주(추/휴),주(대체),0,0.0,8.0,주간근무 공휴일 주간 대체 근무,이승일 (성수SO팀),2023-06-05 17:06:47
SO,성수SO팀,선택근무제,비,야(수/추/비),야(대체)-1인,0,0.0,13.5,선택근무자 비번 패턴에 수유국사 야간 1인 근무 대체,이승일 (성수SO팀),2023-06-01 18:33:19
SO,성수SO팀,선택근무제,비,야(추/비),야(대체),0,0.0,13.5,선택근무자 비번 패턴 야간 대체,이승일 (성수SO팀),2023-06-01 19:48:50
SO,성수SO팀,선택근무제,비,주(대),주(대체),0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:20:33
SO,성수SO팀,선택근무제,비,주(수/추/비),주(대체),0,0.0,8.0,선택근로자 비번 패턴에 수유 주간 추가 근무,이승일 (성수SO팀),2023-08-17 05:48:02
SO,성수SO팀,선택근무제,비,주(추/비),주(대체),0,0.0,8.0,주(대),이승일 (성수SO팀),2023-06-01 20:04:25
SO,성수SO팀,선택근무제,숙,/,숙(대체),0,0.0,0.0,,이승일 (성수SO팀),2022-08-28 08:27:31
SO,성수SO팀,선택근무제,숙,숙,숙(대체),0,0.0,0.0,,이승일 (성수SO팀),2024-12-31 10:41:24
SO,성수SO팀,선택근무제,숙,숙(비),숙(대체),0,0.0,0.0,선택근무자 숙휴,이승일 (성수SO팀),2023-06-01 18:37:56
SO,성수SO팀,선택근무제,숙,숙(주),숙(대체),0,0.0,0.0,선택근무자 주간 패턴에 숙휴,이승일 (성수SO팀),2023-06-01 18:37:16
SO,성수SO팀,선택근무제,야,◑,야(대체),0,0.0,13.5,,이승일 (성수SO팀),2022-08-28 08:27:58
SO,성수SO팀,선택근무제,야,야(수),야-1인,0,0.0,13.5,선택근무자 야간 수유 1인 근무,이승일 (성수SO팀),2023-05-31 16:05:33
SO,성수SO팀,선택근무제,야,야(수/추),야(대체)-1인,0,0.0,13.5,선택근무자 수유국사 야간 1인 근무 (대체),한익진 (성수SO팀),2023-06-01 09:49:10
SO,성수SO팀,선택근무제,야,야(수/추/주),야-1인,0,0.0,13.5,성수 주간 선택근무자 수유1인 야간 근무,이승일 (성수SO팀),2023-10-22 10:02:32
SO,성수SO팀,선택근무제,주,/,숙(대체),0,0.0,0.0,주간패턴에 숙휴대체,오아라 (SO기술팀),2021-07-27 11:13:38
SO,성수SO팀,선택근무제,주,◑,야(대체),0,0.0,13.5,주간패턴에 야간대체,오아라 (SO기술팀),2021-07-27 11:13:50
SO,성수SO팀,선택근무제,주,◑(대),야(대체),0,13.5,0.0,"비번(주말,휴일)패턴에 야간대체",오아라 (SO기술팀),2021-07-27 11:15:14
SO,성수SO팀,선택근무제,주,1,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,1,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:11:49
SO,성수SO팀,선택근무제,주,2,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,2,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:12:11
SO,성수SO팀,선택근무제,주,3,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:12:37
SO,성수SO팀,선택근무제,주,3,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,3(국),주,0,0.0,8.0,3번국데이터검증,이승일 (성수SO팀),2024-11-22 17:59:04
SO,성수SO팀,선택근무제,주,4,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,4,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:13:14
SO,성수SO팀,선택근무제,주,4(국),주,0,0.0,8.0,4번국데이터검증(선택근무),이승일 (성수SO팀),2024-11-22 18:01:25
SO,성수SO팀,선택근무제,주,5,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:13:41
SO,성수SO팀,선택근무제,주,5,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,6,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,6,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:14:03
SO,성수SO팀,선택근무제,주,7,주,0,0.0,8.0,,오아라 (SO기술팀),2021-07-23 15:42:12
SO,성수SO팀,선택근무제,주,8,주,0,0.0,8.0,,오아라 (SO기술팀),2021-07-23 15:43:07
SO,성수SO팀,선택근무제,주,검진,휴,0,0.0,8.0,오전검진 + 오후반차,오아라 (SO기술팀),2021-07-27 14:30:29
SO,성수SO팀,선택근무제,주,검진,주,0,0.0,4.0,,이승일 (성수SO팀),2022-08-28 08:46:08
SO,성수SO팀,선택근무제,주,경조,휴,0,0.0,8.0,유급 경조 휴가,오아라 (SO기술팀),2021-09-24 09:56:26
SO,성수SO팀,선택근무제,주,고,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:14:30
SO,성수SO팀,선택근무제,주,고,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,교육,주,0,0.0,8.0,교육,이승일 (성수SO팀),2024-04-23 14:27:38
SO,성수SO팀,선택근무제,주,병가,휴,0,0.0,8.0,,김주대 (성수SO팀),2022-03-10 10:34:39
SO,성수SO팀,선택근무제,주,상,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:11:25
SO,성수SO팀,선택근무제,주,상,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,야(추/주),야(대체),0,0.0,13.5,선택근무자 야간추가근무,이승일 (성수SO팀),2023-06-01 18:34:44
SO,성수SO팀,선택근무제,주,오반,주,0,0.0,8.0,오전 반차,오아라 (SO기술팀),2021-09-24 09:59:40
SO,성수SO팀,선택근무제,주,작,주,0,0.0,8.0,,이승일 (성수SO팀),2024-12-31 10:20:27
SO,성수SO팀,선택근무제,주,작검,주,0,0.0,8.0,,이승일 (성수SO팀),2024-12-31 10:20:49
SO,성수SO팀,선택근무제,주,재,주-재택,0,0.0,8.0,주간 재택 근무,오아라 (SO기술팀),2021-07-27 14:35:30
SO,성수SO팀,선택근무제,주,접3,휴,0,0.0,8.0,접종3차,김주대 (성수SO팀),2021-12-29 08:22:55
SO,성수SO팀,선택근무제,주,조출,주,0,0.0,8.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,선택근무제,주,조출,주,0,0.0,8.0,,이승일 (성수SO팀),2022-08-28 08:45:00
SO,성수SO팀,선택근무제,주,주(대),주(대체),0,8.0,0.0,"비번(주말,휴일)에 주간대체",오아라 (SO기술팀),2021-07-27 11:27:36
SO,성수SO팀,선택근무제,주,주(수),주,0,0.0,8.0,주간 수유 근무,이승일 (성수SO팀),2024-03-24 08:17:42
SO,성수SO팀,선택근무제,주,집작,주,0,0.0,8.0,,이승일 (성수SO팀),2024-12-31 10:21:07
SO,성수SO팀,선택근무제,주,출장,주-출장,0,0.0,8.0,,김윤섭 (SO기술팀),2021-11-23 10:38:45
SO,성수SO팀,선택근무제,주,파견,주-파견,0,0.0,8.0,파견 주간근무,김윤섭 (SO기술팀),2021-09-07 13:07:31
SO,성수SO팀,선택근무제,주,후반,주,0,0.0,8.0,오후 반차,오아라 (SO기술팀),2021-09-24 10:00:03
SO,성수SO팀,선택근무제,주,후반,주,0,0.0,4.0,,이승일 (성수SO팀),2022-08-28 08:43:52
SO,성수SO팀,선택근무제,주,휴가,휴,0,0.0,8.0,주간근무에 휴가,ITOS 시스템,2021-07-08 15:15:46
SO,성수SO팀,선택근무제,주,휴가(주),휴,0,0.0,0.0,선택근무자 주간 패턴 휴가 ,이승일 (성수SO팀),2023-06-02 07:54:25
SO,성수SO팀,선택근무제,주+야,24,주+야,0,21.5,0.0,명절 24시간 근무,김윤섭 (SO기술팀),2021-09-15 08:17:44
SO,성수SO팀,선택근무제,주+야,24(추/비),주+야,0,21.5,0.0,선택근무 24시간 근무,이승일 (성수SO팀),2024-01-12 15:28:33
SO,성수SO팀,선택근무제,휴,공가,휴,0,0.0,0.0,"공가(예비군,민방위 등등)",이승일 (성수SO팀),2023-02-19 13:48:31
SO,성수SO팀,선택근무제,휴,야(추/휴),야(대체),0,0.0,13.5,선택근무자 공휴일(약정휴일) 야간 추가 근무,이승일 (성수SO팀),2023-06-02 07:59:48
